id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
22787,"Sunny suite w/ queen size bed, inside boutique B&B",87973,Diego,,Cuauhtémoc,19.44076,-99.16324,Private room,1995,1,57,2019-05-27,0.50,8,332
35797,Villa Dante,153786,Dici,,Cuajimalpa de Morelos,19.38399,-99.27335,Entire home/apt,3874,1,0,,,2,363
44616,CONDESA HAUS  B&B,196253,Condesa Haus Bed & Breakfast  CDMX,,Cuauhtémoc,19.41006,-99.17645,Private room,1898,1,42,2019-11-04,0.43,10,353
58955,Entire beautiful duplex in la Roma,282620,Nat,,Cuauhtémoc,19.42292,-99.15775,Entire home/apt,1646,3,40,2019-11-07,0.41,1,132
70644,Beautiful light Studio Coyoacan- full equipped !,212109,Trisha,,Coyoacán,19.35601,-99.16167,Entire home/apt,1065,3,96,2019-11-06,1.01,3,322
75615,Villa Dante,153786,Dici,,Cuajimalpa de Morelos,19.36585,-99.27911,Private room,3874,1,0,,,2,88
98378,Spacious; centric; check out our December Special!,519159,Jorge & Monnah,,Miguel Hidalgo,19.40236,-99.18163,Entire home/apt,4629,3,154,2019-11-11,1.59,13,239
99972,Dreamy suite w/ king size bed in boutique B&B,87973,Diego,,Cuauhtémoc,19.44268,-99.16371,Private room,2789,1,0,,,8,317
107078,NEW  DESIGNER LOFT,540705,Andrea,,Miguel Hidalgo,19.4313,-99.19438,Entire home/apt,4164,4,10,2019-10-05,0.24,2,245
131610,MARIA DEL ALMA,647454,Fernando,,Coyoacán,19.35266,-99.16338,Private room,1588,1,0,,,3,89
165772,BEST 4BR 4 BH HOUSE IN S. MIGUEL CHAPULTEPEC,790208,Francisco Carlos Y Maria Jose,,Miguel Hidalgo,19.40675,-99.18798,Entire home/apt,1065,2,265,2019-11-11,2.61,4,275
171109,Cool room near WTC and Metrobus,816295,Carlos,,Benito Juárez,19.39549,-99.17616,Private room,291,4,64,2019-10-30,0.92,2,351
175504,"Casa Comtesse B&B, Gallery Hotel, 7 rooms",838896,Thomas Pierre,,Cuauhtémoc,19.40631,-99.17303,Private room,1414,1,52,2019-10-31,0.56,4,122
180808,"Huge Luxurious Suite 70's style, perfectly located",36836,Roberto,,Cuauhtémoc,19.42428,-99.16843,Entire home/apt,1046,2,35,2019-11-18,0.38,1,357
187030,Colorful and spacious Apt. Family favorite,899360,Julian,,Cuauhtémoc,19.41033,-99.17647,Entire home/apt,1123,3,97,2019-09-29,0.99,6,0
187745,Extraordinarily Spacious Apt. in Condesa,899360,Julian,,Cuauhtémoc,19.41086,-99.17704,Entire home/apt,1840,2,24,2018-01-03,0.33,6,36
194937,Sunny and fresh Retro style Apartment,899360,Julian,,Cuauhtémoc,19.41113,-99.17762,Entire home/apt,1162,3,64,2019-10-29,0.66,6,176
