id,tipo,nombre,categoria,alcaldia
0,Hotel,Hotel Cuernavaca,2,14
1,Hotel,City Express Alameda,4,6
2,Hotel,Hotel Park Nilo,5,6
3,Hotel,Suites Parioli,4,6
4,Hotel,Hotel Del Principado,3,6
5,Hotel,Hotel CLE,4,6
6,Hotel,Hotel Palace,3,6
7,Hotel,Hotel Casa Blanca,5,6
8,Hotel,Hotel Principal,2,6
9,Hotel,Hotel San Antonio,3,6
10,Hotel,Hotel Washington,2,6
11,Hotel,Hotel República,1,6
12,Hotel,Hotel Zócalo Central,5,6
13,Hotel,Hotel Ritz,4,6
14,Hotel,Hotel San Francisco,4,6
15,Hotel,Hotel Metropol,4,6
16,Hotel,Hotel Lafayette,2,6
17,Hotel,Hotel Alcázar,1,6
18,Hotel,Hotel Campeche,1,6
19,Hotel,Hotel California,4,6
20,Hotel,Sheraton María Isabel Hotel & Towers,5,6
21,Hotel,Hotel Roosevelt,3,6
22,Hotel,Hotel Camino Real Polanco México,5,11
23,Hotel,Hotel Jalisco,1,11
24,Hotel,Tacubaya Hotel y Auto Suites,4,11
25,Hotel,Hotel El Greco,3,3
26,Hotel,Hotel Castropol,3,6
27,Hotel,Hotel Del Prado,5,11
28,Hotel,Hotel Brasilia,3,7
29,Hotel,Exe Suites Reforma,5,6
30,Hotel,Hotel Gin,3,6
31,Hotel,Krystal Urban Aeropuerto CDMX,5,9
32,Hotel,Hotel Catedral,4,6
33,Hotel,Hotel Selina México Downtown,3,6
34,Hotel,Hotel Roble,3,6
35,Hotel,Hotel Calvin,2,6
36,Hotel,Hotel El Diplomático,4,3
37,Hotel,Hotel Edison,2,6
38,Hotel,Hotel Plaza Luar,4,6
39,Hotel,Hotel Pedregal Palace,5,10
40,Hotel,Hotel New York,3,6
41,Hotel,Hotel Montemar,2,6
42,Hotel,Isaaya Hotel Boutique,5,3
43,Hotel,Hotel Polanco,3,11
44,Hotel,Hotel El Dorado,2,6
45,Hotel,Hotel Del Dorado,3,7
46,Hotel,Hotel Sevilla,4,6
47,Hotel,Hotel Fleming,3,6
48,Hotel,Hotel San Martín,3,6
49,Hotel,Hotel Hilton Aeropuerto Ciudad de México,5,15
50,Hotel,Gran Hotel Ciudad de México,5,6
51,Hotel,Hotel Vermont,4,3
52,Hotel,Hotel Casa Blanca,3,6
53,Hotel,Hotel Muy,2,6
54,Hotel,Hotel La Joya,1,6
55,Hotel,Hotel San Alfonso,1,15
56,Hotel,Hotel El Patio,2,6
57,Hotel,Hotel Casa Blanca,1,6
58,Hotel,Suites Coyoacán,5,3
59,Hotel,Hotel Navío,2,15
60,Hotel,Hotel Alvarado,1,6
61,Hotel,Hotel Paraíso,1,6
62,Hotel,Hotel Marin / 77,0,6
63,Hotel,Suites Mi Casa,0,6
64,Hotel,Hotel Las Vegas,1,6
65,Hotel,Hotel Miramar,2,3
66,Hotel,Holiday Inn México Coyoacán,5,3
67,Hotel,Hotel Torremolinos,4,2
68,Hotel,Hotel Cien Metros,3,7
69,Hotel,Hotel Huipulco,3,14
70,Hotel,Hotel Prohogar,1,2
71,Hotel,Motel Quinta Loreto,3,2
72,Hotel,Hotel Sol,2,2
73,Hotel,Hotel Hipódromo,3,11
74,Hotel,Hotel Martí,2,11
75,Hotel,Hotel Moderno,1,6
76,Hotel,Hotel Rex,3,3
77,Hotel,Hotel Quinta Las Delicias,2,3
78,Hotel,Hotel Museo,3,6
79,Hotel,Hotel La Paloma,2,6
80,Hotel,Auto Hotel Max,3,6
81,Hotel,Hotel San Lorenzo,1,6
82,Hotel,Hotel Riviera,1,6
83,Hotel,Hotel Goya,1,6
84,Hotel,Hotel Polly,1,6
85,Hotel,Hotel Xo Ha,3,14
86,Hotel,Hotel K 20,3,14
87,Hotel,Hotel Chopo,2,6
88,Hotel,Apartamentos Amueblados Colonia Del Valle,2,3
89,Hotel,Hotel La Villa,2,7
90,Hotel,Motel La Flor,2,7
91,Hotel,Hotel Cartagena,3,7
92,Hotel,Hotel Villa Quijotes,3,7
93,Hotel,Hotel Faro,3,7
94,Hotel,Hotel Samil Plaza,4,6
95,Hotel,Hotel Balbuena,1,15
96,Hotel,Hotel Condesa,4,3
97,Hotel,Hotel San Juan,2,6
98,Hotel,Hotel Durán,0,6
99,Hotel,Hotel Córdoba,2,15
100,Hotel,Hotel Campo Real,4,16
101,Hotel,Hotel Duque,3,15
