id,elemento,fecha,anio,month,week,localizacion,medicion
0,Precipitación pluvial,2016-01-04,2016,1,1,7,-99.0
1,Precipitación pluvial,2016-01-04,2016,1,1,4,-99.0
2,Precipitación pluvial,2016-01-04,2016,1,1,9,-99.0
3,Precipitación pluvial,2016-01-04,2016,1,1,2,-99.0
4,Precipitación pluvial,2016-01-04,2016,1,1,16,-99.0
5,Precipitación pluvial,2016-01-04,2016,1,1,13,-99.0
6,Precipitación pluvial,2016-01-04,2016,1,1,1,-99.0
7,Precipitación pluvial,2016-01-04,2016,1,1,6,-99.0
8,Precipitación pluvial,2016-01-04,2016,1,1,14,-99.0
9,Precipitación pluvial,2016-01-04,2016,1,1,15,-99.0
10,Precipitación pluvial,2016-01-04,2016,1,1,10,-99.0
11,Precipitación pluvial,2016-01-04,2016,1,1,11,-99.0
12,Precipitación pluvial,2016-01-04,2016,1,1,8,-99.0
13,Precipitación pluvial,2016-01-04,2016,1,1,5,-99.0
14,Precipitación pluvial,2016-01-04,2016,1,1,12,-99.0
15,Precipitación pluvial,2016-01-04,2016,1,1,3,-99.0
16,Precipitación pluvial,2016-01-11,2016,1,2,7,-99.0
17,Precipitación pluvial,2016-01-11,2016,1,2,4,-99.0
18,Precipitación pluvial,2016-01-11,2016,1,2,9,-99.0
19,Precipitación pluvial,2016-01-11,2016,1,2,2,-99.0
20,Precipitación pluvial,2016-01-11,2016,1,2,16,-99.0
21,Precipitación pluvial,2016-01-11,2016,1,2,13,-99.0
22,Precipitación pluvial,2016-01-11,2016,1,2,1,-99.0
23,Precipitación pluvial,2016-01-11,2016,1,2,6,-99.0
24,Precipitación pluvial,2016-01-11,2016,1,2,14,-99.0
25,Precipitación pluvial,2016-01-11,2016,1,2,15,-99.0
26,Precipitación pluvial,2016-01-11,2016,1,2,10,-99.0
27,Precipitación pluvial,2016-01-11,2016,1,2,11,-99.0
28,Precipitación pluvial,2016-01-11,2016,1,2,8,-99.0
29,Precipitación pluvial,2016-01-11,2016,1,2,5,-99.0
30,Precipitación pluvial,2016-01-11,2016,1,2,12,-99.0
31,Precipitación pluvial,2016-01-11,2016,1,2,3,-99.0
32,Precipitación pluvial,2016-01-18,2016,1,3,7,-99.0
33,Precipitación pluvial,2016-01-18,2016,1,3,4,-99.0
34,Precipitación pluvial,2016-01-18,2016,1,3,9,-99.0
35,Precipitación pluvial,2016-01-18,2016,1,3,2,-99.0
36,Precipitación pluvial,2016-01-18,2016,1,3,16,-99.0
37,Precipitación pluvial,2016-01-18,2016,1,3,13,-99.0
38,Precipitación pluvial,2016-01-18,2016,1,3,1,-99.0
39,Precipitación pluvial,2016-01-18,2016,1,3,6,-99.0
40,Precipitación pluvial,2016-01-18,2016,1,3,14,-99.0
41,Precipitación pluvial,2016-01-18,2016,1,3,15,-99.0
42,Precipitación pluvial,2016-01-18,2016,1,3,10,-99.0
43,Precipitación pluvial,2016-01-18,2016,1,3,11,-99.0
44,Precipitación pluvial,2016-01-18,2016,1,3,8,-99.0
45,Precipitación pluvial,2016-01-18,2016,1,3,5,-99.0
46,Precipitación pluvial,2016-01-18,2016,1,3,12,-99.0
47,Precipitación pluvial,2016-01-18,2016,1,3,3,-99.0
48,Precipitación pluvial,2016-01-25,2016,1,4,7,-99.0
49,Precipitación pluvial,2016-01-25,2016,1,4,4,-99.0
50,Precipitación pluvial,2016-01-25,2016,1,4,9,-99.0
51,Precipitación pluvial,2016-01-25,2016,1,4,2,-99.0
52,Precipitación pluvial,2016-01-25,2016,1,4,16,-99.0
53,Precipitación pluvial,2016-01-25,2016,1,4,13,-99.0
54,Precipitación pluvial,2016-01-25,2016,1,4,1,-99.0
55,Precipitación pluvial,2016-01-25,2016,1,4,6,-99.0
56,Precipitación pluvial,2016-01-25,2016,1,4,14,-99.0
57,Precipitación pluvial,2016-01-25,2016,1,4,15,-99.0
58,Precipitación pluvial,2016-01-25,2016,1,4,10,-99.0
59,Precipitación pluvial,2016-01-25,2016,1,4,11,-99.0
60,Precipitación pluvial,2016-01-25,2016,1,4,8,-99.0
61,Precipitación pluvial,2016-01-25,2016,1,4,5,-99.0
62,Precipitación pluvial,2016-01-25,2016,1,4,12,-99.0
63,Precipitación pluvial,2016-01-25,2016,1,4,3,-99.0
64,Precipitación pluvial,2016-02-01,2016,2,5,7,-99.0
65,Precipitación pluvial,2016-02-01,2016,2,5,4,-99.0
66,Precipitación pluvial,2016-02-01,2016,2,5,9,-99.0
67,Precipitación pluvial,2016-02-01,2016,2,5,2,-99.0
