Delegación,semana,mes,medicion
Miguel Hidalgo,18,5,7.98
Gustavo A. Madero,18,5,3.07
Tlalpan,18,5,6.6
Cuauhtémoc,18,5,5.53
Tlalnepantla,18,5,20.42
Ecatepec,18,5,19.96
Cuajimalpa,18,5,18.27
Miguel Hidalgo,18,5,9.52
Tlalpan,18,5,3.07
Tlalpan,18,5,15.96
Milpa Alta,18,5,0.52
Magdalena Contreras,18,5,12.28
Gustavo A. Madero,18,5,1.07
Miguel Hidalgo,19,5,41.45
Gustavo A. Madero,19,5,18.27
Cuauhtémoc,19,5,14.28
Tlalnepantla,19,5,2.61
Ecatepec,19,5,37.92
Cuajimalpa,19,5,19.96
Miguel Hidalgo,19,5,9.82
Nezahualcóyotl,19,5,15.66
Tlalpan,19,5,8.75
Tlalpan,19,5,39.91
Milpa Alta,19,5,6.45
Magdalena Contreras,19,5,14.89
Xochimilco,19,5,3.07
Gustavo A. Madero,19,5,25.33
Miguel Hidalgo,20,5,5.07
Gustavo A. Madero,20,5,3.38
Cuauhtémoc,20,5,4.45
Tlalnepantla,20,5,13.36
Ecatepec,20,5,12.74
Cuajimalpa,20,5,29.17
Miguel Hidalgo,20,5,21.03
Nezahualcóyotl,20,5,6.45
Texcoco,20,5,18.42
Tlalpan,20,5,1.84
Tlalpan,20,5,73.07
Milpa Alta,20,5,12.59
Magdalena Contreras,20,5,1
Xochimilco,20,5,16.43
Miguel Hidalgo,21,5,15.04
Gustavo A. Madero,21,5,43.75
Tlalpan,21,5,25.17
Cuauhtémoc,21,5,36.38
Tlalnepantla,21,5,31.62
Ecatepec,21,5,63.24
Cuajimalpa,21,5,7.21
Miguel Hidalgo,21,5,26.1
Nezahualcóyotl,21,5,33.16
Texcoco,21,5,29.47
Tlalpan,21,5,25.48
Tlalpan,21,5,11.51
Milpa Alta,21,5,7.98
Magdalena Contreras,21,5,38.38
Xochimilco,21,5,24.87
Gustavo A. Madero,21,5,67.08
Miguel Hidalgo,22,5,20.57
Gustavo A. Madero,22,5,57.72
Tlalpan,22,5,33.31
Cuauhtémoc,22,5,33
Tlalnepantla,22,5,10.75
Ecatepec,22,5,38.38
Cuajimalpa,22,5,37.92
Miguel Hidalgo,22,5,27.02
Nezahualcóyotl,22,5,114.52
Texcoco,22,5,57.56
Tlalpan,22,5,35.31
