Delegación,semana,PROMEDIO
Cuajimalpa,2,43.6
Cuauhtémoc,2,28.85
Ecatepec,2,14.2
Gustavo A. Madero,2,21.9
Magdalena Contreras,2,42.9
Miguel Hidalgo,2,38.125
Milpa Alta,2,29.05
Nezahualcóyotl,2,17.2
Texcoco,2,14.65
Tlalnepantla,2,60.75
Tlalpan,2,34.5166666666667
Xochimilco,2,9.2
Cuajimalpa,6,28
Cuauhtémoc,6,33.5
Ecatepec,6,17.55
Gustavo A. Madero,6,28.5
Magdalena Contreras,6,29.05
Miguel Hidalgo,6,35.5
Milpa Alta,6,26.3
Nezahualcóyotl,6,29.25
Texcoco,6,7.15
Tlalnepantla,6,17.35
Tlalpan,6,28.0833333333333
Xochimilco,6,20
Cuajimalpa,10,43.45
Cuauhtémoc,10,36.85
Ecatepec,10,33.2
Gustavo A. Madero,10,42.55
Magdalena Contreras,10,46.65
Miguel Hidalgo,10,39.975
Milpa Alta,10,29.4
Nezahualcóyotl,10,58.7
Texcoco,10,42.6
Tlalnepantla,10,17.55
Tlalpan,10,44.2833333333333
Xochimilco,10,12
Cuajimalpa,14,53.3
Cuauhtémoc,14,87.4
Ecatepec,14,24.1
Gustavo A. Madero,14,70.95
Magdalena Contreras,14,14
Miguel Hidalgo,14,15.1
Milpa Alta,14,22.1
Nezahualcóyotl,14,7.7
Texcoco,14,35.7
Tlalnepantla,14,35
Tlalpan,14,10.5
Xochimilco,14,23.7
Cuajimalpa,15,9.2
Ecatepec,15,0.2
Magdalena Contreras,15,6.7
Miguel Hidalgo,15,12.7
Texcoco,15,11.7
Tlalnepantla,15,0.6
Tlalpan,15,4.86666666666667
Xochimilco,15,1.7
Cuajimalpa,17,15.9
Cuauhtémoc,17,27.05
Ecatepec,17,5.2
Gustavo A. Madero,17,8.7925
Magdalena Contreras,17,8.2
Miguel Hidalgo,17,13.225
Milpa Alta,17,21.55
Nezahualcóyotl,17,17.5
Texcoco,17,20.8
Tlalnepantla,17,2.5
Tlalpan,17,2.05
Xochimilco,17,21.85
Cuajimalpa,18,9.985
Cuauhtémoc,18,16.5075
Ecatepec,18,12.404
Gustavo A. Madero,18,7.90666666666667
Magdalena Contreras,18,6.416
Miguel Hidalgo,18,11.4542857142857
Milpa Alta,18,13.144
Nezahualcóyotl,18,29.875
Texcoco,18,14.43
Tlalnepantla,18,9.41833333333333
Tlalpan,18,11.2141176470588
Xochimilco,18,14.3466666666667
Cuajimalpa,19,44.9625
Cuauhtémoc,19,16.9944444444444
Ecatepec,19,12.37
Gustavo A. Madero,19,16.9745
Magdalena Contreras,19,24.0471428571429
Miguel Hidalgo,19,29.7246153846154
Milpa Alta,19,11.948
Nezahualcóyotl,19,15.6288888888889
Texcoco,19,13.09375
Tlalnepantla,19,20.3866666666667
Tlalpan,19,26.1076
Xochimilco,19,9.10857142857143
Cuajimalpa,20,22.9677777777778
Cuauhtémoc,20,11.1888888888889
Ecatepec,20,13.8411111111111
Gustavo A. Madero,20,14.7361111111111
Magdalena Contreras,20,18.766
Miguel Hidalgo,20,12.844
Milpa Alta,20,15.104
Nezahualcóyotl,20,15.1522222222222
Texcoco,20,18.2877777777778
Tlalnepantla,20,12.96875
Tlalpan,20,14.8365217391304
Xochimilco,20,15.7511111111111
Cuajimalpa,21,23.399
Cuauhtémoc,21,21.3925
Ecatepec,21,25.2016666666667
Gustavo A. Madero,21,17.66875
Magdalena Contreras,21,30.6928571428571
Miguel Hidalgo,21,24.59625
Milpa Alta,21,16.51625
Nezahualcóyotl,21,14.48875
Texcoco,21,17.2144444444444
Tlalnepantla,21,11.785
Tlalpan,21,33.7385185185185
Xochimilco,21,18.49
Cuajimalpa,22,28.902
Cuauhtémoc,22,22.75
Ecatepec,22,17.44
Gustavo A. Madero,22,16.7
Magdalena Contreras,22,32.8583333333333
Miguel Hidalgo,22,28.306875
Milpa Alta,22,20.11875
Nezahualcóyotl,22,30.1825
Texcoco,22,18.6355555555556
Tlalnepantla,22,24.8516666666667
Tlalpan,22,23.4729166666667
Xochimilco,22,20.7025
Cuajimalpa,23,46.3514285714286
Cuauhtémoc,23,27.9625
Ecatepec,23,27.3175
Gustavo A. Madero,23,21.391875
Magdalena Contreras,23,35.22
Miguel Hidalgo,23,39.2292857142857
Milpa Alta,23,16.784
Nezahualcóyotl,23,18.11875
Texcoco,23,24.3375
Tlalnepantla,23,29.37375
Tlalpan,23,33.1203846153846
Xochimilco,23,26.216
Cuajimalpa,24,53.815
Cuauhtémoc,24,19.8928571428571
Ecatepec,24,18.6971428571429
Gustavo A. Madero,24,31.1961538461538
Magdalena Contreras,24,54.7566666666667
Miguel Hidalgo,24,27.67
Milpa Alta,24,25.54125
Nezahualcóyotl,24,15.7716666666667
Texcoco,24,19.7157142857143
Tlalnepantla,24,32.4457142857143
Tlalpan,24,33.3231818181818
Xochimilco,24,17.73875
Cuajimalpa,25,74.355
Cuauhtémoc,25,61.88
Ecatepec,25,51.395
Gustavo A. Madero,25,45.7705
Magdalena Contreras,25,53.1975
Miguel Hidalgo,25,61.3531578947368
Milpa Alta,25,33.044
Nezahualcóyotl,25,33.88
Texcoco,25,29.862
Tlalnepantla,25,49.52
Tlalpan,25,57.8179310344828
Xochimilco,25,34.9433333333333
Cuajimalpa,26,73.3533333333333
Cuauhtémoc,26,51.071
Ecatepec,26,50.981
Gustavo A. Madero,26,56.234
Magdalena Contreras,26,68.2242857142857
Miguel Hidalgo,26,65.4245
Milpa Alta,26,31.6233333333333
Nezahualcóyotl,26,26.85
Texcoco,26,31.95
Tlalnepantla,26,54.379
Tlalpan,26,59.9396551724138
Xochimilco,26,37.2822222222222
Cuajimalpa,27,64.38125
Cuauhtémoc,27,50.4911111111111
Ecatepec,27,43.8711111111111
Gustavo A. Madero,27,60.5838888888889
Magdalena Contreras,27,91.1883333333333
Miguel Hidalgo,27,60.1823529411765
Milpa Alta,27,32.16875
Nezahualcóyotl,27,39.985
Texcoco,27,36.8933333333333
Tlalnepantla,27,44.0177777777778
Tlalpan,27,57.0157692307692
Xochimilco,27,28.5355555555556
Cuajimalpa,28,54.9277777777778
Cuauhtémoc,28,37.47375
Ecatepec,28,24.8266666666667
Gustavo A. Madero,28,42.081875
Magdalena Contreras,28,56.9825
Miguel Hidalgo,28,35.1205882352941
Milpa Alta,28,29.645
Nezahualcóyotl,28,24.6914285714286
Texcoco,28,24.4355555555556
Tlalnepantla,28,29.9075
Tlalpan,28,42.1765384615385
Xochimilco,28,21.73
Cuajimalpa,29,48.111
Cuauhtémoc,29,34.8
Ecatepec,29,45.032
Gustavo A. Madero,29,43.44
Magdalena Contreras,29,41.76125
Miguel Hidalgo,29,49.72
Milpa Alta,29,26.6375
Nezahualcóyotl,29,21.04875
Texcoco,29,21.7288888888889
Tlalnepantla,29,42.119
Tlalpan,29,52.6
Xochimilco,29,43.8728571428571
Cuajimalpa,30,62.085
Cuauhtémoc,30,31.862
Ecatepec,30,24.102
Gustavo A. Madero,30,27.342
Magdalena Contreras,30,39.3325
Miguel Hidalgo,30,34.9322222222222
Milpa Alta,30,26.3155555555556
Nezahualcóyotl,30,28.6511111111111
Texcoco,30,24.4477777777778
Tlalnepantla,30,24.917
Tlalpan,30,37.9516666666667
Xochimilco,30,20.5671428571429
Cuajimalpa,31,57.682
Cuauhtémoc,31,22.224
Ecatepec,31,18.43
Gustavo A. Madero,31,19.9845
Magdalena Contreras,31,58.43625
Miguel Hidalgo,31,33.0505
Milpa Alta,31,25.111
Nezahualcóyotl,31,22.51625
Texcoco,31,17.4977777777778
Tlalnepantla,31,30.012
Tlalpan,31,38.012
Xochimilco,31,19.7744444444444
Cuajimalpa,32,63.7888888888889
Cuauhtémoc,32,25.124
Ecatepec,32,27.2877777777778
Gustavo A. Madero,32,24.12
Magdalena Contreras,32,61.1844444444445
Miguel Hidalgo,32,36.917
Milpa Alta,32,22.835
Nezahualcóyotl,32,23.4777777777778
Texcoco,32,22.249
Tlalnepantla,32,32.807
Tlalpan,32,48.2683333333333
Xochimilco,32,19.953
Cuajimalpa,33,68.2775
Cuauhtémoc,33,34.9733333333333
Ecatepec,33,13.8288888888889
Gustavo A. Madero,33,28.7588888888889
Magdalena Contreras,33,44.705
Miguel Hidalgo,33,52.9423529411765
Milpa Alta,33,27.4333333333333
Nezahualcóyotl,33,34.205
Texcoco,33,32.58625
Tlalnepantla,33,26.9511111111111
Tlalpan,33,44.987037037037
Xochimilco,33,27.1633333333333
Cuajimalpa,34,70.098
Cuauhtémoc,34,38.566
Ecatepec,34,30.769
Gustavo A. Madero,34,37.8625
Magdalena Contreras,34,54.6922222222222
Miguel Hidalgo,34,37.709
Milpa Alta,34,39.91
Nezahualcóyotl,34,37.6022222222222
Texcoco,34,21.1966666666667
Tlalnepantla,34,38.811
Tlalpan,34,59.9306666666667
Xochimilco,34,32.285
Cuajimalpa,35,74.051
Cuauhtémoc,35,48.4875
Ecatepec,35,36.5588888888889
Gustavo A. Madero,35,29.325
Magdalena Contreras,35,74.4544444444444
Miguel Hidalgo,35,70.5978947368421
Milpa Alta,35,38.6288888888889
Nezahualcóyotl,35,34.4822222222222
Texcoco,35,20.3655555555556
Tlalnepantla,35,61.7766666666667
Tlalpan,35,64.369
Xochimilco,35,27.631
Cuajimalpa,36,42.3025
Cuauhtémoc,36,38.5444444444444
Ecatepec,36,33.9614285714286
Gustavo A. Madero,36,38.3706666666667
Magdalena Contreras,36,39.18
Miguel Hidalgo,36,40.2792857142857
Milpa Alta,36,20.69625
Nezahualcóyotl,36,43.6616666666667
Texcoco,36,26.6457142857143
Tlalnepantla,36,28.9057142857143
Tlalpan,36,34.1051851851852
Xochimilco,36,26.515
Cuajimalpa,37,68.7822222222222
Cuauhtémoc,37,36.3344444444444
Ecatepec,37,17.0325
Gustavo A. Madero,37,27.96375
Magdalena Contreras,37,42.3128571428571
Miguel Hidalgo,37,47.4723529411765
Milpa Alta,37,31.1277777777778
Nezahualcóyotl,37,14.58125
Texcoco,37,13.7888888888889
Tlalnepantla,37,43.3433333333333
Tlalpan,37,39.2037037037037
Xochimilco,37,20.0075
Cuajimalpa,38,64.78
Cuauhtémoc,38,33.6122222222222
Ecatepec,38,16.465
Gustavo A. Madero,38,22.959
Magdalena Contreras,38,41.96
Miguel Hidalgo,38,31.229
Milpa Alta,38,21.0777777777778
Nezahualcóyotl,38,21.0725
Texcoco,38,19.471
Tlalnepantla,38,23.618
Tlalpan,38,45.3025
Xochimilco,38,25.6377777777778
Cuajimalpa,39,45.808
Cuauhtémoc,39,32.00625
Ecatepec,39,18.99625
Gustavo A. Madero,39,24.505625
Magdalena Contreras,39,68.7166666666667
Miguel Hidalgo,39,24.55875
Milpa Alta,39,33.345
