Delegación,mes,PROMEDIO
Cuajimalpa,1,43.6
Cuauhtémoc,1,28.85
Ecatepec,1,14.2
Gustavo A. Madero,1,21.9
Magdalena Contreras,1,42.9
Miguel Hidalgo,1,38.125
Milpa Alta,1,29.05
Nezahualcóyotl,1,17.2
Texcoco,1,14.65
Tlalnepantla,1,60.75
Tlalpan,1,34.5166666666667
Xochimilco,1,9.2
Cuajimalpa,2,28
Cuauhtémoc,2,33.5
Ecatepec,2,17.55
Gustavo A. Madero,2,28.5
Magdalena Contreras,2,29.05
Miguel Hidalgo,2,35.5
Milpa Alta,2,26.3
Nezahualcóyotl,2,29.25
Texcoco,2,7.15
Tlalnepantla,2,17.35
Tlalpan,2,28.0833333333333
Xochimilco,2,20
Cuajimalpa,3,43.45
Cuauhtémoc,3,36.85
Ecatepec,3,33.2
Gustavo A. Madero,3,42.55
Magdalena Contreras,3,46.65
Miguel Hidalgo,3,39.975
Milpa Alta,3,29.4
Nezahualcóyotl,3,58.7
Texcoco,3,42.6
Tlalnepantla,3,17.55
Tlalpan,3,44.2833333333333
Xochimilco,3,12
Cuajimalpa,4,15.5428571428571
Cuauhtémoc,4,33.6666666666667
Ecatepec,4,9.95714285714286
Gustavo A. Madero,4,24.4066666666667
Magdalena Contreras,4,8.21666666666667
Miguel Hidalgo,4,13.1676923076923
Milpa Alta,4,21.6716666666667
Nezahualcóyotl,4,20.49
Texcoco,4,19.412
Tlalnepantla,4,9.04571428571429
Tlalpan,4,9.22619047619047
Xochimilco,4,16.02
Cuajimalpa,5,28.37075
Cuauhtémoc,5,17.1763636363636
Ecatepec,5,16.3168571428571
Gustavo A. Madero,5,15.8944594594595
Magdalena Contreras,5,24.7871428571429
Miguel Hidalgo,5,23.2746774193548
Milpa Alta,5,14.855
Nezahualcóyotl,5,18.6588235294118
Texcoco,5,16.914
Tlalnepantla,5,16.3327777777778
Tlalpan,5,23.5842056074766
Xochimilco,5,16.0693333333333
Cuajimalpa,6,63.5811764705882
Cuauhtémoc,6,41.6230555555556
Ecatepec,6,40.1997297297297
Gustavo A. Madero,6,42.1754794520548
Magdalena Contreras,6,53.4006666666667
Miguel Hidalgo,6,51.1484507042254
Milpa Alta,6,26.8758974358974
Nezahualcóyotl,6,25.1267647058824
Texcoco,6,29.0421621621622
Tlalnepantla,6,42.4372972972973
Tlalpan,6,47.6472321428572
Xochimilco,6,28.9552631578947
Cuajimalpa,7,56.742380952381
Cuauhtémoc,7,35.9090243902439
Ecatepec,7,31.4441860465116
Gustavo A. Madero,7,37.2375903614458
Magdalena Contreras,7,52.6611764705882
Miguel Hidalgo,7,41.016875
Milpa Alta,7,27.9697368421053
Nezahualcóyotl,7,27.9208571428571
Texcoco,7,23.249
Tlalnepantla,7,33.6547619047619
Tlalpan,7,44.3832283464567
Xochimilco,7,26.4171428571429
Cuajimalpa,8,68.0614634146341
Cuauhtémoc,8,36.8278048780488
Ecatepec,8,25.9439024390244
Gustavo A. Madero,8,30.7927906976744
Magdalena Contreras,8,60.8966666666667
Miguel Hidalgo,8,48.8746428571429
Milpa Alta,8,31.3635714285714
Nezahualcóyotl,8,31.0879487179487
Texcoco,8,24.10475
Tlalnepantla,8,39.9478571428572
Tlalpan,8,54.0169767441861
Xochimilco,8,27.4374418604651
Cuajimalpa,9,54.415641025641
Cuauhtémoc,9,32.703947368421
Ecatepec,9,20.3016666666667
Gustavo A. Madero,9,26.5019178082192
Magdalena Contreras,9,45.7183333333333
Miguel Hidalgo,9,36.7594366197183
Milpa Alta,9,25.7613513513514
Nezahualcóyotl,9,27.7565625
Texcoco,9,18.9227027027027
Tlalnepantla,9,27.1152777777778
Tlalpan,9,39.2279310344828
Xochimilco,9,21.8941666666667
Cuajimalpa,10,27.363
Cuauhtémoc,10,21.3835714285714
Ecatepec,10,17.3523333333333
Gustavo A. Madero,10,21.7030769230769
Magdalena Contreras,10,26.0229166666667
Miguel Hidalgo,10,21.1292307692308
Milpa Alta,10,14.7724137931034
Nezahualcóyotl,10,13.7185185185185
Texcoco,10,12.6934615384615
Tlalnepantla,10,20.1912
Tlalpan,10,21.61
Xochimilco,10,11.358275862069
Cuajimalpa,11,71.6
Cuauhtémoc,11,68.3
Ecatepec,11,29.95
Gustavo A. Madero,11,50.7
Magdalena Contreras,11,25.75
Miguel Hidalgo,11,91.825
Milpa Alta,11,50.5
Nezahualcóyotl,11,32.9
Texcoco,11,24.5
Tlalnepantla,11,63.1
Tlalpan,11,50.84
Xochimilco,11,13.3
Cuajimalpa,12,39.7
Ecatepec,12,1.8
Gustavo A. Madero,12,0.25
Magdalena Contreras,12,53.945
Miguel Hidalgo,12,18.0375
Milpa Alta,12,0.8
Nezahualcóyotl,12,2.5
Texcoco,12,1.085
Tlalnepantla,12,9.95
Tlalpan,12,29.754
Xochimilco,12,1.4
