Tipo AirBnB,Alcaldía,Precio Promedio 2019
Entire home/apt,Azcapotzalco,918
Entire home/apt,Benito Juárez,1133
Entire home/apt,Iztapalapa,898
Entire home/apt,La Magdalena Contreras,1219
Entire home/apt,Miguel Hidalgo,2180
Entire home/apt,Tláhuac,585
Hotel room,Cuajimalpa de Morelos,1761
Private room,Xochimilco,2409
Shared room,Álvaro Obregón,1502
Shared room,Venustiano Carranza,339
Shared room,Xochimilco,179
Entire home/apt,Gustavo A. Madero,963
Hotel room,Álvaro Obregón,1577
Hotel room,Azcapotzalco,288
Hotel room,Benito Juárez,1279
Hotel room,Cuauhtémoc,1607
Hotel room,Iztapalapa,500
Hotel room,La Magdalena Contreras,1956
Hotel room,Miguel Hidalgo,2077
Hotel room,Xochimilco,748
Private room,Cuauhtémoc,700
Private room,Tláhuac,422
Private room,Venustiano Carranza,564
Shared room,Tlalpan,342
Entire home/apt,Álvaro Obregón,1337
Entire home/apt,Cuajimalpa de Morelos,1658
Entire home/apt,Cuauhtémoc,1653
Entire home/apt,Milpa Alta,1148
Hotel room,Iztacalco,581
Private room,Álvaro Obregón,672
Private room,Coyoacán,642
Private room,Cuajimalpa de Morelos,900
Private room,Iztacalco,451
Shared room,Coyoacán,437
Shared room,Cuajimalpa de Morelos,621
Shared room,Iztacalco,461
Shared room,Iztapalapa,625
Shared room,La Magdalena Contreras,370
Shared room,Miguel Hidalgo,650
Entire home/apt,Coyoacán,1202
Entire home/apt,Iztacalco,829
Entire home/apt,Tlalpan,1222
Entire home/apt,Venustiano Carranza,878
Entire home/apt,Xochimilco,946
Hotel room,Coyoacán,1650
Hotel room,Gustavo A. Madero,582
Hotel room,Tlalpan,589
Private room,Azcapotzalco,570
Private room,Benito Juárez,575
Private room,Gustavo A. Madero,406
Private room,Iztapalapa,2636
Private room,La Magdalena Contreras,521
Private room,Miguel Hidalgo,794
Private room,Milpa Alta,389
Private room,Tlalpan,512
Shared room,Azcapotzalco,679
Shared room,Benito Juárez,1503
Shared room,Cuauhtémoc,554
Shared room,Gustavo A. Madero,405
Shared room,Milpa Alta,452
Shared room,Tláhuac,1069
