Alcaldía,ANIO,Disponibilidad anual
Tlalpan,2019,238
Gustavo A. Madero,2020,237
Tlalpan,2020,238
Gustavo A. Madero,2021,232
Tlalpan,2021,234
Coyoacán,2019,221
Gustavo A. Madero,2019,237
Iztacalco,2019,201
Venustiano Carranza,2019,213
Álvaro Obregón,2020,230
Azcapotzalco,2020,200
Cuajimalpa de Morelos,2020,228
Cuauhtémoc,2020,217
Tláhuac,2020,242
Coyoacán,2021,230
Iztacalco,2021,218
Venustiano Carranza,2021,229
Xochimilco,2021,233
Azcapotzalco,2019,206
Benito Juárez,2019,203
Iztapalapa,2019,233
La Magdalena Contreras,2019,235
Miguel Hidalgo,2019,208
Milpa Alta,2019,262
Tláhuac,2019,247
Xochimilco,2019,257
Benito Juárez,2020,214
Iztapalapa,2020,235
La Magdalena Contreras,2020,235
Miguel Hidalgo,2020,222
Milpa Alta,2020,244
Álvaro Obregón,2021,237
Cuajimalpa de Morelos,2021,231
La Magdalena Contreras,2021,228
Álvaro Obregón,2019,228
Cuajimalpa de Morelos,2019,227
Cuauhtémoc,2019,207
Coyoacán,2020,227
Iztacalco,2020,196
Venustiano Carranza,2020,220
Xochimilco,2020,241
Azcapotzalco,2021,198
Benito Juárez,2021,219
Cuauhtémoc,2021,231
Iztapalapa,2021,225
Miguel Hidalgo,2021,234
Milpa Alta,2021,222
Tláhuac,2021,218
