Tipo AirBnB,Alcaldía,Noches minimas
Entire home/apt,Álvaro Obregón,7
Entire home/apt,Benito Juárez,5
Entire home/apt,Cuajimalpa de Morelos,6
Private room,Cuajimalpa de Morelos,3
Entire home/apt,Cuauhtémoc,3
Hotel room,Iztacalco,1
Private room,Iztacalco,3
Shared room,La Magdalena Contreras,1
Entire home/apt,Miguel Hidalgo,4
Private room,Milpa Alta,2
Entire home/apt,Tláhuac,1
Entire home/apt,Tlalpan,8
Entire home/apt,Xochimilco,3
Hotel room,Xochimilco,1
Private room,Xochimilco,3
Entire home/apt,Azcapotzalco,6
Hotel room,Azcapotzalco,1
Private room,Benito Juárez,4
Entire home/apt,Coyoacán,3
Hotel room,Cuajimalpa de Morelos,2
Private room,Cuauhtémoc,3
Entire home/apt,Gustavo A. Madero,2
Shared room,Gustavo A. Madero,2
Entire home/apt,Iztacalco,2
Shared room,Iztacalco,2
Hotel room,La Magdalena Contreras,2
Hotel room,Miguel Hidalgo,1
Shared room,Xochimilco,4
Hotel room,Álvaro Obregón,1
Shared room,Azcapotzalco,4
Shared room,Benito Juárez,4
Hotel room,Coyoacán,1
Private room,Coyoacán,3
Shared room,Coyoacán,7
Shared room,Cuauhtémoc,2
Hotel room,Gustavo A. Madero,1
Private room,Gustavo A. Madero,2
Hotel room,Iztapalapa,1
Private room,Iztapalapa,1
Entire home/apt,La Magdalena Contreras,4
Shared room,Miguel Hidalgo,2
Hotel room,Tlalpan,3
Private room,Tlalpan,5
Shared room,Tlalpan,9
Private room,Álvaro Obregón,3
Shared room,Álvaro Obregón,2
Private room,Azcapotzalco,3
Hotel room,Benito Juárez,7
Shared room,Cuajimalpa de Morelos,18
Hotel room,Cuauhtémoc,1
Entire home/apt,Iztapalapa,2
Shared room,Iztapalapa,2
Private room,La Magdalena Contreras,5
Private room,Miguel Hidalgo,3
Entire home/apt,Milpa Alta,1
Shared room,Milpa Alta,1
Private room,Tláhuac,1
Shared room,Tláhuac,1
Entire home/apt,Venustiano Carranza,3
Private room,Venustiano Carranza,1
Shared room,Venustiano Carranza,2
