Alcaldía,# OFERTAS,MES
Álvaro Obregón,1021,1
Azcapotzalco,251,1
Benito Juárez,3462,1
Coyoacán,1844,1
Cuajimalpa de Morelos,448,1
Cuauhtémoc,8456,1
Gustavo A. Madero,338,1
Iztacalco,291,1
Iztapalapa,293,1
La Magdalena Contreras,157,1
Miguel Hidalgo,3446,1
Milpa Alta,18,1
Tláhuac,36,1
Tlalpan,895,1
Venustiano Carranza,377,1
Xochimilco,144,1
Álvaro Obregón,1041,2
Azcapotzalco,258,2
Benito Juárez,3473,2
Coyoacán,1823,2
Cuajimalpa de Morelos,461,2
Cuauhtémoc,8502,2
Gustavo A. Madero,338,2
Iztacalco,300,2
Iztapalapa,291,2
La Magdalena Contreras,153,2
Miguel Hidalgo,3512,2
Milpa Alta,19,2
Tláhuac,37,2
Tlalpan,908,2
Venustiano Carranza,406,2
Xochimilco,141,2
Álvaro Obregón,1024,3
Azcapotzalco,259,3
Benito Juárez,3463,3
Coyoacán,1862,3
Cuajimalpa de Morelos,468,3
Cuauhtémoc,8548,3
Gustavo A. Madero,357,3
Iztacalco,323,3
Iztapalapa,302,3
La Magdalena Contreras,164,3
Miguel Hidalgo,3502,3
Milpa Alta,20,3
Tláhuac,40,3
Tlalpan,909,3
Venustiano Carranza,435,3
Xochimilco,135,3
Álvaro Obregón,1024,4
Azcapotzalco,258,4
Benito Juárez,3451,4
Coyoacán,1863,4
Cuajimalpa de Morelos,466,4
Cuauhtémoc,8518,4
Gustavo A. Madero,367,4
Iztacalco,325,4
Iztapalapa,313,4
La Magdalena Contreras,156,4
Miguel Hidalgo,3499,4
Milpa Alta,18,4
Tláhuac,39,4
Tlalpan,914,4
Venustiano Carranza,455,4
Xochimilco,135,4
Álvaro Obregón,1023,5
Azcapotzalco,259,5
Benito Juárez,3447,5
Coyoacán,1865,5
Cuajimalpa de Morelos,466,5
Cuauhtémoc,8447,5
Gustavo A. Madero,365,5
Iztacalco,335,5
Iztapalapa,309,5
La Magdalena Contreras,160,5
Miguel Hidalgo,3437,5
Milpa Alta,18,5
Tláhuac,40,5
Tlalpan,904,5
Venustiano Carranza,448,5
Xochimilco,139,5
Álvaro Obregón,1036,6
Azcapotzalco,265,6
Benito Juárez,3440,6
Coyoacán,1879,6
Cuajimalpa de Morelos,513,6
Cuauhtémoc,8484,6
Gustavo A. Madero,372,6
Iztacalco,328,6
Iztapalapa,314,6
La Magdalena Contreras,161,6
Miguel Hidalgo,3478,6
Milpa Alta,18,6
Tláhuac,41,6
Tlalpan,902,6
Venustiano Carranza,452,6
Xochimilco,141,6
Álvaro Obregón,940,10
Azcapotzalco,238,10
Benito Juárez,2973,10
Coyoacán,1676,10
Cuajimalpa de Morelos,476,10
Cuauhtémoc,7221,10
Gustavo A. Madero,380,10
Iztacalco,272,10
Iztapalapa,287,10
La Magdalena Contreras,157,10
Miguel Hidalgo,3092,10
Milpa Alta,26,10
Tláhuac,44,10
Tlalpan,823,10
Venustiano Carranza,436,10
Xochimilco,139,10
Álvaro Obregón,944,11
Azcapotzalco,249,11
Benito Juárez,3039,11
Coyoacán,1691,11
Cuajimalpa de Morelos,476,11
Cuauhtémoc,7388,11
Gustavo A. Madero,382,11
Iztacalco,266,11
Iztapalapa,294,11
La Magdalena Contreras,157,11
Miguel Hidalgo,3108,11
Milpa Alta,25,11
Tláhuac,47,11
Tlalpan,846,11
Venustiano Carranza,439,11
Xochimilco,141,11
Álvaro Obregón,974,12
Azcapotzalco,252,12
Benito Juárez,3097,12
Coyoacán,1686,12
Cuajimalpa de Morelos,503,12
Cuauhtémoc,7519,12
Gustavo A. Madero,376,12
Iztacalco,274,12
Iztapalapa,301,12
La Magdalena Contreras,158,12
Miguel Hidalgo,3195,12
Milpa Alta,24,12
Tláhuac,48,12
Tlalpan,849,12
Venustiano Carranza,447,12
Xochimilco,149,12
