id,Alcaldía,Población,Superficie_km2,Densidad_hab_km2
1,Álvaro Obregón,759137,96.17,7 894
2,Azcapotzalco,432205,33.66,12 840
3,Benito Juárez,434153,26.63,16 303
4,Coyoacán,614447,54.4,11.295
5,Cuajimalpa de Morelos,217686,80.95,2 689
6,Cuauhtémoc,545884,32.4,16 848
7,Gustavo A. Madero,1173351,94.07,12 473
8,Iztacalco,404695,23.3,17 369
9,Iztapalapa,1835486,117,15 687
10,La Magdalena Contreras,247622,74.58,3 320
11,Miguel Hidalgo,414470,46.99,8 820
12,Milpa Alta,152685,228.41,668
13,Tláhuac,392313,85.34,4 597
14,Tlalpan,699928,312,2 243
15,Venustiano Carranza,443704,33.4,13 284
16,Xochimilco,442178,122,3 624
