Alcaldía,# OFERTAS,MES
Azcapotzalco,213,3
Benito Juárez,2765,3
Cuauhtémoc,6838,3
Iztapalapa,206,3
Miguel Hidalgo,2800,3
Milpa Alta,14,3
Tláhuac,30,3
Venustiano Carranza,260,3
Xochimilco,97,3
Azcapotzalco,225,4
Benito Juárez,2888,4
Cuauhtémoc,7107,4
Iztapalapa,216,4
La Magdalena Contreras,131,4
Miguel Hidalgo,2835,4
Milpa Alta,15,4
Tláhuac,31,4
Xochimilco,111,4
Azcapotzalco,234,5
Benito Juárez,2980,5
Iztapalapa,221,5
La Magdalena Contreras,144,5
Miguel Hidalgo,2887,5
Milpa Alta,15,5
Tláhuac,32,5
Xochimilco,117,5
Azcapotzalco,239,6
Benito Juárez,3067,6
Iztapalapa,235,6
La Magdalena Contreras,136,6
Miguel Hidalgo,2993,6
Milpa Alta,15,6
Álvaro Obregón,896,7
Benito Juárez,3113,7
Cuajimalpa de Morelos,419,7
Iztapalapa,235,7
La Magdalena Contreras,135,7
Miguel Hidalgo,3082,7
Álvaro Obregón,924,8
Coyoacán,1710,8
Cuajimalpa de Morelos,433,8
Álvaro Obregón,946,9
Coyoacán,1721,9
Cuajimalpa de Morelos,415,9
Iztacalco,248,9
Álvaro Obregón,954,10
Coyoacán,1784,10
Cuajimalpa de Morelos,427,10
Iztacalco,263,10
Coyoacán,1770,11
Iztacalco,269,11
Iztacalco,279,12
Gustavo A. Madero,300,3
La Magdalena Contreras,128,3
Tlalpan,684,3
Álvaro Obregón,817,4
Cuajimalpa de Morelos,395,4
Coyoacán,1613,5
Gustavo A. Madero,298,5
Iztacalco,221,5
Tlalpan,730,5
Venustiano Carranza,318,5
Álvaro Obregón,876,6
Cuajimalpa de Morelos,418,6
Cuauhtémoc,7570,6
Tláhuac,33,6
Coyoacán,1678,7
Iztacalco,235,7
Venustiano Carranza,335,7
Xochimilco,139,7
Azcapotzalco,240,8
Benito Juárez,3216,8
Cuauhtémoc,7977,8
Iztapalapa,250,8
La Magdalena Contreras,136,8
Miguel Hidalgo,3206,8
Milpa Alta,15,8
Tláhuac,38,8
Xochimilco,141,9
Azcapotzalco,230,10
Benito Juárez,3329,10
Gustavo A. Madero,316,10
Iztapalapa,276,10
La Magdalena Contreras,138,10
Miguel Hidalgo,3326,10
Milpa Alta,15,10
Tlalpan,844,10
Álvaro Obregón,952,11
Cuajimalpa de Morelos,431,11
Coyoacán,1791,12
Gustavo A. Madero,331,12
Tlalpan,891,12
Coyoacán,1492,3
Iztacalco,202,3
Iztacalco,222,4
Gustavo A. Madero,326,6
Tlalpan,759,6
Gustavo A. Madero,317,7
Tlalpan,795,7
Gustavo A. Madero,322,8
Tlalpan,826,8
Cuauhtémoc,8063,9
Gustavo A. Madero,336,9
Tlalpan,811,9
Venustiano Carranza,360,9
Cuauhtémoc,8118,10
Tláhuac,35,10
Venustiano Carranza,370,10
Azcapotzalco,247,11
Cuauhtémoc,8140,11
Milpa Alta,16,11
Tláhuac,37,11
Venustiano Carranza,364,11
Xochimilco,142,11
Azcapotzalco,245,12
Benito Juárez,3410,12
Cuauhtémoc,8380,12
Iztapalapa,278,12
La Magdalena Contreras,147,12
Miguel Hidalgo,3407,12
Milpa Alta,17,12
Tláhuac,36,12
Venustiano Carranza,370,12
Xochimilco,140,12
Álvaro Obregón,774,3
Cuajimalpa de Morelos,426,3
Coyoacán,1582,4
Gustavo A. Madero,293,4
Tlalpan,710,4
Venustiano Carranza,290,4
Álvaro Obregón,848,5
Cuajimalpa de Morelos,400,5
Cuauhtémoc,7290,5
Coyoacán,1663,6
Iztacalco,231,6
Venustiano Carranza,335,6
Xochimilco,134,6
Azcapotzalco,241,7
Cuauhtémoc,7685,7
Milpa Alta,16,7
Tláhuac,36,7
Iztacalco,249,8
Venustiano Carranza,348,8
Xochimilco,147,8
Azcapotzalco,233,9
Benito Juárez,3284,9
Iztapalapa,259,9
La Magdalena Contreras,142,9
Miguel Hidalgo,3259,9
Milpa Alta,16,9
Tláhuac,39,9
Xochimilco,143,10
Benito Juárez,3321,11
Gustavo A. Madero,337,11
Iztapalapa,267,11
La Magdalena Contreras,142,11
Miguel Hidalgo,3273,11
Tlalpan,863,11
Álvaro Obregón,1003,12
Cuajimalpa de Morelos,432,12
