Alcaldía,Tipo AirBnB,Reviews por mes
Azcapotzalco,Entire home/apt,1.2913494623655912
Benito Juárez,Entire home/apt,1.3951558548201661
Iztapalapa,Entire home/apt,0.84686298076923072
La Magdalena Contreras,Entire home/apt,0.66825217391304359
Miguel Hidalgo,Entire home/apt,1.4028786086133507
Tláhuac,Entire home/apt,0.59261589403973514
Cuajimalpa de Morelos,Hotel room,0.48820652173913048
Xochimilco,Private room,0.294824016563147
Álvaro Obregón,Shared room,0.14453825857519792
Venustiano Carranza,Shared room,0.41048543689320388
Xochimilco,Shared room,2.5000000000000001E-2
Álvaro Obregón,Entire home/apt,0.8514194416414389
Cuajimalpa de Morelos,Entire home/apt,0.77813265663283138
Cuauhtémoc,Entire home/apt,1.9381028538688705
Milpa Alta,Entire home/apt,0.2141666666666667
Iztacalco,Hotel room,0.71941176470588231
Álvaro Obregón,Private room,0.51623091770485774
Coyoacán,Private room,0.58690313722227094
Cuajimalpa de Morelos,Private room,0.42641070535267628
Iztacalco,Private room,0.80734181240063574
Coyoacán,Shared room,0.25163774403470723
Cuajimalpa de Morelos,Shared room,0.1437984496124031
Iztacalco,Shared room,0.51427710843373498
Iztapalapa,Shared room,8.0239043824701206E-2
La Magdalena Contreras,Shared room,0.3708974358974359
Miguel Hidalgo,Shared room,0.28472049689440992
Coyoacán,Entire home/apt,1.5481227835132794
Iztacalco,Entire home/apt,1.8161676159479261
Tlalpan,Entire home/apt,0.86422535211267582
Venustiano Carranza,Entire home/apt,2.9578725443219906
Xochimilco,Entire home/apt,0.53188420019627114
Coyoacán,Hotel room,0.33324120603015073
Gustavo A. Madero,Hotel room,0.11732758620689655
Tlalpan,Hotel room,1.6895238095238096
Azcapotzalco,Private room,0.43433510638297884
Benito Juárez,Private room,0.70347864399751381
Gustavo A. Madero,Private room,0.81366673805954148
Iztapalapa,Private room,0.38540330417881419
La Magdalena Contreras,Private room,0.3819057071960299
Miguel Hidalgo,Private room,0.85228369262355408
Milpa Alta,Private room,0.03625641025641025
Tlalpan,Private room,0.49000083927821908
Azcapotzalco,Shared room,0.10213675213675213
Benito Juárez,Shared room,0.26211122554067978
Cuauhtémoc,Shared room,0.46398213735756072
Gustavo A. Madero,Shared room,8.1469648562300337E-2
Milpa Alta,Shared room,9.8421052631578951E-2
Tláhuac,Shared room,0.10578947368421053
Gustavo A. Madero,Entire home/apt,1.3825500000000006
Álvaro Obregón,Hotel room,0.28529644268774706
Azcapotzalco,Hotel room,0.86999999999999988
Benito Juárez,Hotel room,0.38592857142857157
Cuauhtémoc,Hotel room,0.97032589443854012
Iztapalapa,Hotel room,0
La Magdalena Contreras,Hotel room,0.22
Miguel Hidalgo,Hotel room,0.54539999999999988
Xochimilco,Hotel room,0.63785714285714279
Cuauhtémoc,Private room,1.049968338534139
Tláhuac,Private room,0.1757052631578947
Venustiano Carranza,Private room,1.7016324535679355
Tlalpan,Shared room,0.1538926174496644
