id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
14714,Private room c/ bathroom . Colonia Juarez.,57785,Diego,,Cuauhtémoc,19.43035,-99.15511,Private room,476,2,0,,,1,364
22787,"Sunny suite w/ queen size bed, inside boutique B&B",87973,Diego,,Cuauhtémoc,19.44076,-99.16324,Private room,1957,1,10,2018-05-11,0.58,8,0
33681,Couple of Rooms,145672,Edubiel,,Tlalpan,19.27215,-99.21848,Private room,1729,1,0,,,1,365
35797,Villa Dante,153786,Dici,,Cuajimalpa de Morelos,19.38399,-99.27335,Entire home/apt,3800,1,0,,,2,364
44616,CONDESA HAUS BOUTIQUE B&B,196253,Condesa Haus Bed & BReakfast  CDMX,,Cuauhtémoc,19.41006,-99.17645,Private room,1906,1,39,2019-05-02,0.43,10,330
58955,Entire beautiful duplex in la Roma,282620,Nat,,Cuauhtémoc,19.42292,-99.15775,Entire home/apt,1620,3,37,2019-01-01,0.41,1,173
61792,Spacious Clean Quiet room (own bath) in la Condesa,299558,Roberto,,Cuauhtémoc,19.41259,-99.17959,Private room,953,2,51,2019-04-05,2.69,3,180
67703,"2 bedroom apt. deco bldg, Condesa",334451,Nicholas,,Cuauhtémoc,19.41375,-99.17028,Entire home/apt,1810,2,39,2019-02-24,0.43,3,340
70644,Beautiful light Studio Coyoacan- full equipped !,212109,Trisha,,Coyoacán,19.35601,-99.16167,Entire home/apt,1048,3,92,2019-04-12,1.04,4,276
70737,Great studio Coyoacan!,212109,Trisha,,Coyoacán,19.35466,-99.16304,Entire home/apt,1124,3,31,2015-07-20,0.31,4,294
75615,Villa Dante,153786,Dici,,Cuajimalpa de Morelos,19.36585,-99.27911,Private room,3811,1,0,,,2,88
98378,6Br & 6Ba; Up to -30% last-minute-stays deals,519159,Jorge & Monnah,,Miguel Hidalgo,19.40236,-99.18163,Entire home/apt,4555,2,132,2019-05-13,1.45,18,309
99972,Dreamy suite w/ king size bed in boutique B&B,87973,Diego,,Cuauhtémoc,19.44268,-99.16371,Private room,2744,1,0,,,8,340
107078,NEW  DESIGNER LOFT,540705,Andrea,,Miguel Hidalgo,19.4313,-99.19438,Entire home/apt,4097,4,6,2018-06-11,0.17,2,325
131610,MARIA DEL ALMA,647454,Fernando,,Coyoacán,19.35266,-99.16338,Private room,1563,1,0,,,3,0
165772,BEST 4BR 4 BH HOUSE IN S. MIGUEL CHAPULTEPEC,790208,Francisco Carlos Y Maria Jose,,Miguel Hidalgo,19.40675,-99.18798,Entire home/apt,1048,2,252,2019-04-30,2.65,4,233
171109,Cool room near WTC and Metrobus,816295,Carlos,,Benito Juárez,19.39549,-99.17616,Private room,286,4,57,2019-03-31,0.90,2,364
175504,"Casa Comtesse B&B, Gallery Hotel, 8 rooms",838896,Thomas Pierre,,Cuauhtémoc,19.40631,-99.17303,Private room,1410,1,51,2019-02-24,0.58,4,4
180808,"Huge Luxurious Suite 70's style, perfectly located",36836,Roberto,,Cuauhtémoc,19.42428,-99.16843,Entire home/apt,1029,3,32,2019-03-10,0.37,1,328
187030,Two bedroom apartment in Condesa,899360,Julian,,Cuauhtémoc,19.41033,-99.17647,Entire home/apt,1620,2,89,2019-05-19,0.97,6,173
187745,Spacious one bedroom apt in Condesa,899360,Julian,,Cuauhtémoc,19.41086,-99.17704,Entire home/apt,1810,2,24,2018-01-03,0.36,6,64
194937,One bedroom apartment in Condesa -1,899360,Julian,,Cuauhtémoc,19.41113,-99.17762,Entire home/apt,1620,2,53,2019-05-04,0.58,6,352
198778,Smack in the Middle of La Condesa,970609,Morgana & Omar,,Cuauhtémoc,19.41395,-99.17948,Entire home/apt,915,2,159,2019-04-12,1.70,3,154
204887,"Condesa-Roma, great place to stay!",998053,MaryJo,,Miguel Hidalgo,19.40409,-99.17731,Entire home/apt,800,3,22,2018-11-02,0.26,1,356
217685,"in Condesa, one of the best zones.",184410,Veronica,,Cuauhtémoc,19.40454,-99.1715,Entire home/apt,953,6,2,2015-04-06,0.04,1,355
245507,TRENDY APARTMENT IN ZONA ROSA / JUAREZ DISTRICT,1288063,Francisco & Rodolfo,,Cuauhtémoc,19.4251,-99.17067,Entire home/apt,1315,1,246,2019-05-08,2.66,16,348
246057,HIP APARTMENT ONE BLOCK REFORMA,1288063,Francisco & Rodolfo,,Cuauhtémoc,19.42373,-99.1714,Entire home/apt,1429,1,229,2019-05-01,2.49,16,365
247543,"Independent studio, top location",1297488,Petra,,Cuauhtémoc,19.43417,-99.13744,Private room,570,3,79,2019-02-25,0.87,7,305
252618,"""Chavela"" Private & Furnished Room",1326107,Jacqueline,,Cuauhtémoc,19.41328,-99.15513,Private room,324,5,16,2017-09-30,0.18,3,2
255354,Tours in Mexico city,855066,Andrea,,Azcapotzalco,19.49886,-99.19172,Private room,627,1,10,2019-04-22,1.36,1,0
256555,GREAT HOUSE IN S MIGUEL CHAPULTEPEC,790208,Francisco Carlos Y Maria Jose,,Miguel Hidalgo,19.40631,-99.18691,Entire home/apt,1048,2,233,2019-04-14,2.57,4,233
261897,Charming 1BR flat in Roma/Condesa,1373924,Eric,,Cuauhtémoc,19.41835,-99.17363,Entire home/apt,1182,2,320,2019-05-05,3.56,1,63
271048,Great location in Mexico City!,1417206,Ma. Carmen,,Miguel Hidalgo,19.42686,-99.17838,Entire home/apt,1696,5,13,2018-02-01,0.14,1,83
276504,High End Condo with golf package,1444589,Michael,,Iztacalco,19.38258,-99.12736,Entire home/apt,1906,7,0,,,1,365
281134,COOL PENT HOUSE APARTMENT @CONDESA,196253,Condesa Haus Bed & BReakfast  CDMX,,Cuauhtémoc,19.41125,-99.17634,Entire home/apt,2744,1,6,2019-04-07,0.11,10,334
287015,SUPER DEAL MONTHLY STAYS / COMFORT / FAST WIFI!,1138171,Tony De Marco,,Cuauhtémoc,19.4128,-99.16387,Private room,4764,7,3,2012-07-24,0.03,3,364
