id,nombre,linea,delegaci�n
0,Villa Olímpica,1,11
1,CCU,1,4
2,Altavista,1,1
3,Parque Hundido,1,3
4,Colonia del Valle,1,3
5,La Piedad,1,3
6,Campeche,1,6
7,Sonora,1,6
8,Álvaro Obregón,1,6
9,Durango,1,6
10,Revolución,1,6
11,Buenavista. Línea 1.,1,6
12,Potrero,1,7
13,Nuevo León,2,6
14,Viaducto,2,6
15,Centro SCOP,2,3
16,Xola,2,3
17,Las Américas,2,3
18,Canela,2,8
19,Tlacotal,2,8
20,UPIICSA,2,8
21,Rojo Gomez,2,9
22,Obrero Mundial,3,3
23,Centro Médico,3,6
24,Hospital General,3,6
25,Ricardo Flores Magón,3,6
26,Tolnahuac,3,6
27,Magdalena La Salinas,3,7
28,Poniente 128,3,7
29,Tres Anegas,3,7
30,Puente de Alvarado,4,6
31,Plaza de la República,4,6
32,Glorieta de Colón,4,6
33,Vocacional 5,4,6
34,Eje Central_Metrobús_Línea 4,4,6
35,Isabel La Católica,4,6
36,Pino Suárez,4,6
37,La Merced,4,6
38,Ferrocarril de Cintura,4,6
39,Mixcalco,4,6
40,Teatro del Pueblo,4,6
41,República de Argentina,4,6
42,República de Chile,4,6
43,Hidalgo. Línea 4,4,6
44,Museo San Carlos,4,6
45,San Juan de Aragón,5,7
46,Talismán,5,7
47,Santa Coleta,5,7
48,Terminal. San Lázaro. Línea 5,5,15
49,482,6,7
50,Casas Alemán,6,7
51,Hospital General La Villa,6,6
52,Delegación Gustavo A. Madero,6,7
53,Hospital Infantil La Villa,6,7
54,Deportivo 18 de Marzo,6,7
55,San Bartolo,6,7
56,Lindavista-Vallejo,6,7
57,Montevideo,6,2
58,UAM Azcapotzalco,6,2
59,La Joya,1,14
60,Santa Úrsula,1,14
61,Ayuntamiento,1,14
62,Corregidora,1,11
63,Perisur,1,4
64,Olivo,1,1
65,Teatro de los Insurgentes,1,3
66,Felix Cuevas,1,3
67,Nápoles,1,3
68,Poliforum,1,3
69,Glorieta Insurgentes,1,6
70,San Simón,1,6
71,Circuito,1,6
72,La Raza. Línea 1.,1,7
73,Indios Verdes,1,7
74,Parque Lira,2,11
75,Antonio Maceo,2,11
76,Patriotismo,2,6
77,Doctor Vértiz,2,3
78,Andrés Molina,2,8
79,La Viga,2,8
80,Coyuya,2,8
81,El Rodeo,2,8
82,Río Mayo,2,8
83,Del Moral,2,9
84,Leyes de Reforma,2,9
85,CCH Oriente,2,8
86,Constitución de Apatzingán,2,8
87,Canal de San Juan,2,9
88,Nicolás Bravo,2,9
89,Tepalcates,2,9
90,Río Tecolutla,2,9
91,Dr. Márquez,3,6
92,Jardín Pushkin,3,6
93,Cuauhtémoc,3,6
94,Balderas,3,6
95,Guerrero,3,6
96,Tlatelolco,3,6
97,Circuito. Línea 3,3,6
98,Hospital La Raza,3,7
99,La Raza,3,2
100,Coltongo,3,2
101,Poniente 134,3,7
102,Júpiter,3,2
103,Poniente 146,3,2
104,Terminal 2 - Aeropuerto,4,3
105,Delegación Cuauhtémoc,4,6
106,Expo Reforma,4,6
107,Juárez_Metrobús_Línea 4,4,6
108,Plaza San Juan,4,6
109,El Salvador,4,6
110,Las Cruces Sur,4,6
111,Las Cruces Norte,4,6
112,Mercado de Sonora,4,15
113,Cecilio Robelo,4,15
114,Eduardo Molina,4,15
115,Hospital Balbuena,4,15
116,Terminal San Lázaro,4,15
117,Archivo General de la Nación,4,15
118,Morelos,4,15
119,Teatro Blanquita,4,6
120,314. Memorial New's Divine,5,7
121,Vasco de Quiroga,5,7
122,Río Guadalupe,5,7
123,Oriente 101,5,7
124,Deportivo Eduardo Molina,5,15
125,Mercado Morelos,5,15
126,Archivo General,5,15
127,Villa de Aragón,6,7
128,Colegio de Bachilleres 9,6,7
129,La Pradera,6,7
130,Volcán de Fuego,6,7
131,Ampliación Providencia,6,7
132,416 Poniente,6,7
133,Loreto Fabela,6,7
134,Pueblo San Juan de Aragón,6,7
135,De los Misterios,6,7
136,Riobamba,6,7
137,Instituto Politécnico Nacional,6,7
138,Norte 45,6,2
139,Norte 59,6,2
140,Tecnoparque,6,2
141,El Caminero,1,14
142,Fuentes Brotantes,1,14
143,Ciudad Universitaria,1,4
144,Dr. Gálvez,1,1
145,Bombilla,1,1
146,Francia,1,1
147,José María Velasco,1,1
148,Río Churubusco,1,3
149,Ciudad de los Deportes,1,3
150,Chilpancingo,1,6
151,Hamburgo,1,6
152,Reforma,1,6
153,El Chopo,1,6
154,Manuel González,1,6
155,Euzkaro,1,6
156,Terminal Tacubaya. Metrobús. Línea 2,2,11
157,De La Salle,2,11
158,Escandón,2,6
159,Amores,2,3
160,Etiopía. Línea 2,2,3
161,Álamos,2,3
162,Goma,2,8
163,Iztacalco,2,8
164,Río Frío,2,8
165,General Antonio de León,2,9
166,Terminal Etiopía-Plaza de la Transparencia,3,3
167,Juárez. Línea 3,3,6
168,Hidalgo,3,6
169,Mina,3,6
170,Buenavista - Línea 3,3,6
171,Cuitláhuac,3,7
172,La Patera,3,7
173,Progreso Nacional,3,7
174,San José de la Escalera,3,7
175,Metrobus Tenayuca,3,7
176,Héroe de Nacozari,3,7
177,Terminal 1 - Aeropuerto,4,15
178,Buenavista. Línea 4,4,6
179,Museo de la Ciudad,4,6
180,Circunvalación,4,6
181,Moctezuma,4,15
182,Bellas Artes,4,6
183,Río de los Remedios,5,7
184,5 de Mayo,5,7
185,El Coyol,5,7
186,Preparatoria 3,5,7
187,Victoria,5,7
188,Canal del Norte,5,15
189,Río Consulado,5,7
190,Francisco Morazán,6,7
191,416 Oriente,6,7
