id,nombre,linea,delegacion 
0,Villa Olímpica,Línea 1,
1,CCU,Línea 1,
2,Altavista,Línea 1,
3,Parque Hundido,Línea 1,
4,Colonia del Valle,Línea 1,
5,La Piedad,Línea 1,
6,Campeche,Línea 1,
7,Sonora,Línea 1,
8,Álvaro Obregón,Línea 1,
9,Durango,Línea 1,
10,Revolución,Línea 1,
11,Buenavista. Línea 1.,Línea 1,
12,Potrero,Línea 1,
13,Nuevo León,Línea 2,
14,Viaducto,Línea 2,
15,Centro SCOP,Línea 2,
16,Xola,Línea 2,
17,Las Américas,Línea 2,
18,Canela,Línea 2,
19,Tlacotal,Línea 2,
20,UPIICSA,Línea 2,
21,Rojo Gomez,Línea 2,
22,Obrero Mundial,Línea 3,
23,Centro Médico,Línea 3,
24,Hospital General,Línea 3,
25,Ricardo Flores Magón,Línea 3,
26,Tolnahuac,Línea 3,
27,Magdalena La Salinas,Línea 3,
28,Poniente 128,Línea 3,
29,Tres Anegas,Línea 3,
30,Puente de Alvarado,Línea 4,
31,Plaza de la República,Línea 4,
32,Glorieta de Colón,Línea 4,
33,Vocacional 5,Línea 4,
34,Eje Central_Metrobús_Línea 4,Línea 4,
35,Pino Suárez,Línea 4,
36,La Merced,Línea 4,
37,Ferrocarril de Cintura,Línea 4,
38,Mixcalco,Línea 4,
39,Teatro del Pueblo,Línea 4,
40,República de Argentina,Línea 4,
41,República de Chile,Línea 4,
42,Museo San Carlos,Línea 4,
43,San Juan de Aragón,Línea 5,
44,Talismán,Línea 5,
45,Santa Coleta,Línea 5,
46,Terminal. San Lázaro. Línea 5,Línea 5,
47,482,Línea 6,
48,Casas Alemán,Línea 6,
49,Hospital General La Villa,Línea 6,
50,Delegación Gustavo A. Madero,Línea 6,
51,Hospital Infantil La Villa,Línea 6,
52,Deportivo 18 de Marzo,Línea 6,
53,San Bartolo,Línea 6,
54,Lindavista-Vallejo,Línea 6,
55,Montevideo,Línea 6,
56,UAM Azcapotzalco,Línea 6,
57,La Joya,Línea 1,
58,Santa Úrsula,Línea 1,
59,Ayuntamiento,Línea 1,
60,Corregidora,Línea 1,
61,Perisur,Línea 1,
62,Olivo,Línea 1,
63,Teatro de los Insurgentes,Línea 1,
64,Felix Cuevas,Línea 1,
65,Nápoles,Línea 1,
66,Poliforum,Línea 1,
67,San Simón,Línea 1,
68,Circuito,Línea 1,
69,La Raza. Línea 1.,Línea 1,
