id,tipo,nombre,categoria,calle_y_numero,colonia,alcaldia,cp
0,Hotel,Hotel Cuernavaca,2 Estrellas,Carretera federal a Cuernavaca 5201,Chimalcoyotl,Tlalpan,14630
1,Hotel,City Express Alameda,4 Estrellas,Revillagigedo 23,Centro (Área 5),Cuauhtémoc,6050
2,Hotel,Hotel Park Nilo,5 Estrellas,Río Nilo 71,Cuauhtémoc,Cuauhtémoc,6500
3,Hotel,Suites Parioli,4 Estrellas,Río Po 108,Cuauhtémoc,Cuauhtémoc,6500
4,Hotel,Hotel Del Principado,3 Estrellas,Londres 42,Juárez,Cuauhtémoc,6600
5,Hotel,Hotel CLE,4 Estrellas,Nápoles 62,Juárez,Cuauhtémoc,6600
6,Hotel,Hotel Palace,3 Estrellas,Ignacio Ramírez 7,Tabacalera,Cuauhtémoc,6030
7,Hotel,Hotel Casa Blanca,5 Estrellas,Lafragua 7,Tabacalera,Cuauhtémoc,6030
8,Hotel,Hotel Principal,2 Estrellas,Bolívar 29,Centro (Área 1),Cuauhtémoc,6000
9,Hotel,Hotel San Antonio,3 Estrellas,Segundo callejón de 5 de Mayo 29,Centro (Área 1),Cuauhtémoc,6000
10,Hotel,Hotel Washington,2 Estrellas,5 de Mayo 54,Centro (Área 1),Cuauhtémoc,6000
11,Hotel,Hotel República,1 Estrella,República de Cuba 57,Centro (Área 2),Cuauhtémoc,6010
12,Hotel,Hotel Zócalo Central,5 Estrellas,Avenida 5 de Mayo 61,Centro (Área 1),Cuauhtémoc,6000
13,Hotel,Hotel Ritz,4 Estrellas,Francisco I. Madero 30,Centro (Área 1),Cuauhtémoc,6000
14,Hotel,Hotel San Francisco,4 Estrellas,Luis Moya 11,Centro (Área 5),Cuauhtémoc,6050
15,Hotel,Hotel Metropol,4 Estrellas,Luis Moya 39,Centro (Área 5),Cuauhtémoc,6050
16,Hotel,Hotel Lafayette,2 Estrellas,Motolinia  40,Centro (Área 1),Cuauhtémoc,6000
17,Hotel,Hotel Alcázar,1 Estrella,Doctor Liceaga 143,Doctores,Cuauhtémoc,6720
18,Hotel,Hotel Campeche,1 Estrella,Campeche 62,Roma Sur,Cuauhtémoc,6760
19,Hotel,Hotel California,4 Estrellas,Avenida Baja California 7,Roma Sur,Cuauhtémoc,6760
