id,nombre,linea,delegación 
1,Pantitlán,1,15
2,Zaragoza,1,15
3,Gómez Farías,1,15
4,Boulevard Puerto Aéreo,1,15
5,Balbuena,1,15
6,Moctezuma,1,15
7,San Lázaro,1,15
8,Candelaria,1,15
9,Merced,1,15
10,Pino Suárez,1,6
11,Isabel la Católica,1,6
12,Salto del Agua,1,6
13,Balderas,1,6
14,Cuauhtémoc,1,6
15,Insurgentes,1,6
16,Sevilla,1,6
17,Chapultepec,1,6
18,Juanacatlán,1,11
19,Tacubaya,1,11
20,Observatorio,1,1
21,Panteones,2,11
22,Tacuba,2,11
23,Cuitláhuac,2,11
24,Popotla,2,11
25,Colegio Militar,2,11
26,Normal,2,11
27,San Cosme,2,6
28,Revolución,2,6
29,Hidalgo,2,6
30,Bellas Artes,2,6
31,Allende,2,6
32,Zócalo,2,6
33,Pino Suárez,2,6
34,San Antonio Abad,2,6
35,Chabacano,2,6
36,Viaducto,2,3
37,Xola,2,3
38,Villa de Cortés,2,3
39,Nativitas,2,3
40,Portales,2,3
41,Ermita,2,3
42,General Anaya,2,4
43,Tasqueña,2,4
44,Indios Verdes,3,7
45,Deportivo 18 de Marzo,3,7
46,Potrero,3,7
47,La Raza,3,7
48,Tlatelolco,3,6
49,Guerrero,3,6
50,Hidalgo,3,6
51,Juárez,3,6
52,Balderas,3,6
53,Niños Héroes,3,6
54,Hospital General,3,6
55,Centro Médico,3,6
56,Etiopía-Plaza de la transparencia,3,6
57,Eugenia,3,3
58,División del Norte,3,3
59,Zapata,3,3
60,Coyoacán,3,3
61,Viveros-Derechos Humanos,3,4
62,Miguel Ángel de Quevedo,3,4
63,Copilco,3,4
64,Universidad,3,4
65,Martín Carrera,4,7
66,Talismán,4,7
67,Bondojito,4,7
68,Consulado,4,7
69,Canal del Norte,4,15
70,Morelos,4,15
71,Candelaria,4,15
72,Fray Servando,4,15
73,Jamaica,4,15
74,Santa Anita,4,8
75,Pantitlán,5,15
76,Hangares,5,15
77,Terminal Aérea,5,15
78,Oceanía,5,15
79,Aragón,5,15
80,Aragón,,7
81,Eduardo Molina,5,15
82,Eduardo Molina,5,7
83,Consulado,5,15
84,Consulado,5,7
85,Valle Gómez,5,15
86,Valle Gómez,5,7
87,Misterios,5,15
88,Misterios,5,7
89,La Raza,5,7
90,Autobuses del Norte,5,7
91,Instituto del Petróleo,5,7
92,Politécnico,5,7
93,El Rosario,6,2
94,Tezozómoc,6,2
95,UAM-Azcapotzalco,6,2
96,Ferrería/Arena Ciudad de México,6,2
97,Norte 45,6,2
98,Vallejo,6,2
99,Instituto del Petróleo,6,7
100,Lindavista,6,7
101,Deportivo 18 de Marzo,6,7
102,La Villa-Basílica,6,7
103,Martín Carrera,6,7
104,El Rosario,7,2
105,Aquiles Serdán,7,2
106,Camarones,7,2
107,Refinería,7,2
108,Tacuba,7,11
109,San Joaquín,7,11
110,Polanco,7,11
111,Auditorio,7,11
112,Constituyentes,7,11
113,Tacubaya,7,11
114,San Pedro de los Pinos,7,3
115,San Antonio,7,3
116,Mixcoac,7,3
117,Barranca del Muerto,7,3
118,Garibaldi-Lagunilla,8,6
119,Bellas Artes,8,6
120,San Juan de Letrán,8,6
121,Salto del Agua,8,6
122,Doctores,8,6
123,Obrera,8,6
124,Chabacano,8,6
125,La Viga,8,15
126,Santa Anita,8,8
127,Coyuya,8,8
128,Iztacalco,8,8
129,Apatlaco,8,9
130,Aculco,8,9
131,Escuadrón 201,8,9
132,Atlalilco,8,9
133,Iztapalapa,8,9
134,Cerro de la Estrella,8,9
135,UAM-I,8,9
136,Constitución de 1917,8,9
137,Pantitlán,9,8
138,Puebla,9,8
139,Puebla,9,15
140,Ciudad Deportiva,9,8
141,Ciudad Deportiva,9,15
142,Velódromo,9,6
143,Mixiuhca,9,6
144,Jamaica,9,6
145,Chabacano,9,6
146,Lázaro Cárdenas,9,6
147,Centro Médico,9,6
148,Chilpancingo,9,6
149,Patriotismo,9,6
150,Tacubaya,9,1
151,Pantitlán,A,8
152,Agrícola Oriental,A,8
153,Canal de San Juan,A,8
154,Tepalcates,A,9
155,Guelatao,A,9
156,Peñón Viejo,A,9
157,Acatitla,A,9
158,Santa Marta,A,9
159,Buenavista,B,6
160,Guerrero,B,6
161,Garibaldi-Lagunilla,B,6
162,Lagunilla,B,6
163,Tepito,B,6
164,Morelos,B,15
165,San Lázaro,B,15
166,Ricardo Flores Magón,B,15
167,Romero Rubio,B,15
168,Oceanía,B,7
169,Deportivo Oceanía,B,7
170,Bosque de Aragón,B,7
171,Villa de Aragón,B,7
172,Tláhuac,12,13
173,Tlaltenco,12,13
174,Zapotitlán,12,13
175,Nopalera,12,13
176,Olivos,12,13
177,Tezonco,12,9
178,Periférico Oriente,12,9
179,Calle 11,12,9
180,Lomas Estrella,12,9
181,San Andrés Tomatlán,12,9
182,Culhuacán,12,9
183,Atlalilco,12,9
184,Mexicaltzingo,12,9
185,Ermita,12,3
186,Eje Central,12,3
187,Parque de los Venados,12,3
188,Zapata,12,3
189,Hospital 20 de Noviembre,12,3
190,Insurgentes Sur,12,3
191,Mixcoac,12,3
