id,nombre,linea,delegacion 
0,Altavista,1,1
1,Álvaro Obregón,1,6
2,Ayuntamiento,1,14
3,Bombilla,1,1
4,Buenavista. 1.,1,6
5,Campeche,1,6
6,CCU,1,4
7,Chilpancingo,1,6
8,Circuito,1,6
9,Ciudad de los Deportes,1,3
10,Ciudad Universitaria,1,4
11,Colonia del Valle,1,3
12,Corregidora,1,11
13,Deportivo 18 de Marzo,1,7
14,Dr. Gálvez,1,1
15,Durango,1,6
16,El Caminero,1,14
17,El Chopo,1,6
18,Euzkaro,1,6
19,Felix Cuevas,1,3
20,Francia,1,1
21,Fuentes Brotantes,1,14
22,Glorieta Insurgentes,1,6
23,Hamburgo,1,6
24,Indios Verdes,1,7
25,José María Velasco,1,1
26,La Joya,1,14
27,La Piedad,1,5
28,La Raza. 1.,1,7
29,Manuel González,1,6
30,Nápoles,1,3
31,Nuevo León,1,6
32,Olivo,1,1
33,Parque Hundido,1,3
34,Perisur,1,4
35,Plaza de la República,1,6
36,Poliforum,1,3
37,Potrero,1,7
38,Reforma,1,6
39,Revolución,1,6
40,Río Churubusco,1,3
41,San Simón,1,6
42,Santa Úrsula,1,14
43,Sonora,1,6
44,Teatro de los Insurgentes,1,3
45,Villa Olímpica,1,11
46,Álamos,2,3
47,Amores,2,3
48,Andrés Molina,2,8
49,Antonio Maceo,2,11
50,Canal de San Juan,2,9
51,Canela,2,8
52,CCH Oriente,2,8
53,Centro SCOP,2,3
54,Constitución de Apatzingán,2,8
55,Coyuya,2,8
56,De La Salle,2,11
57,Del Moral,2,9
58,Doctor Vértiz,2,3
59,El Rodeo,2,8
60,Escandón,2,6
61,Etiopía. 2,2,3
62,General Antonio de León,2,9
63,Goma,2,8
64,Iztacalco,2,8
65,La Viga,2,8
66,Las Américas,2,3
67,Leyes de Reforma,2,9
68,Nicolás Bravo,2,9
69,Nuevo León,2,6
70,Parque Lira,2,11
71,Patriotismo,2,6
72,Río Frío,2,8
73,Río Mayo,2,8
74,Río Tecolutla,2,9
75,Rojo Gomez,2,9
76,Tepalcates,2,9
77,Terminal Tacubaya. Metrobús. 2,2,11
78,Tlacotal,2,8
79,UPIICSA,2,8
80,Viaducto,2,6
81,Xola,2,3
82,Balderas,3,6
83,Buenavista - 3,3,6
84,Centro Médico,3,6
85,Circuito. 3,3,6
86,Coltongo,3,2
87,Cuauhtémoc,3,6
88,Cuitláhuac,3,7
89,Dr. Márquez,3,6
90,Guerrero,3,6
91,Héroe de Nacozari,3,7
92,Hidalgo,3,6
93,Hospital General,3,6
94,Hospital La Raza,3,7
95,Jardín Pushkin,3,6
96,Juárez. 3,3,6
97,Júpiter,3,2
98,La Patera,3,7
99,La Raza,3,2
100,Magdalena La Salinas,3,7
101,Metrobus Tenayuca,3,7
102,Mina,3,6
103,Montevideo,3,7
104,Obrero Mundial,3,3
105,Poniente 128,3,7
106,Poniente 134,3,7
